school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,free_discounted_lunch_pct,schooldigger_url,business_fit,business_fit_reason,notes
Calvary Christian Academy And Preschool,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 792-5135,dvega@cccap.net,"2500 W. OAKRIDGE RD., ORLANDO, FL 32809",Orlando,Orange,PK-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: DENISE VEGA. Source: FLDOE Private School Directory, Orange County."
Camen Academy For The Performing Arts,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 347-4958,clottman@camenacademy.com,"5959 LAKE ELLENOR DRIVE UNIT 100, ORLANDO, FL 32809",Orlando,Orange,PK-12,YES,YES,YES,VALID,65,,https://www.schooldigger.com/go/FL/schools/9999977905/school.aspx,REVIEW,no_lunch_data_reported,"Director: CLAIRE LOTTMAN. Source: FLDOE Private School Directory, Orange County."
Celandine Life-Prep Academy Inc,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 790-4903,administration@clpa13.com,"331 LAKE AVENUE, MAITLAND, FL 32751",Maitland,Orange,PK-12,YES,YES,YES,VALID,52,,https://www.schooldigger.com/go/FL/schools/9999951349/school.aspx,REVIEW,no_lunch_data_reported,"Director: KRISTEN PETERSON. Source: FLDOE Private School Directory, Orange County."
Central Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 930-6364,info@cca.education,"5503 N HIAWASSEE RD BUILDING B, ORLANDO, FL 32818",Orlando,Orange,PK-12,YES,YES,YES,VALID,126,,https://www.schooldigger.com/go/FL/schools/9999977912/school.aspx,REVIEW,no_lunch_data_reported,"Director: DINORAHT AMESTY. Source: FLDOE Private School Directory, Orange County."
Central Florida Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 293-8062,headmaster@cfcaeagles.org,"700 GOOD HOMES RD, ORLANDO, FL 32818",Orlando,Orange,K-12,YES,YES,YES,VALID,518,,https://www.schooldigger.com/go/FL/schools/9999900057/school.aspx,REVIEW,no_lunch_data_reported,"Director: MARC STOMPRUD. Source: FLDOE Private School Directory, Orange County."
Central Florida Preparatory School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 290-8073,rowena@cfprep.org,"1800 MARDEN ROAD, APOPKA, FL 32703",Apopka,Orange,PK-12,YES,YES,YES,VALID,462,,https://www.schooldigger.com/go/FL/schools/9999959152/school.aspx,REVIEW,no_lunch_data_reported,"Director: ROWENA FLANDERS. Source: FLDOE Private School Directory, Orange County."
Changing Lives Academy Inc.,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 613-2445,jreyesclacademy@gmail.com,"7215 MONETARY DRIVE, ORLANDO, FL 32809",Orlando,Orange,PK-12,YES,YES,YES,VALID,83,,https://www.schooldigger.com/go/FL/schools/9999951352/school.aspx,REVIEW,no_lunch_data_reported,"Director: JIPSY REYES. Source: FLDOE Private School Directory, Orange County."
Christian Learning Academy Apopka Inc.,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 408-0320,bryce.pfleger@claeagles.com,"820 ROGER WILLIAMS RD, APOPKA, FL 32703",Apopka,Orange,K-12,YES,YES,YES,VALID,32,,https://www.schooldigger.com/go/FL/schools/9999977925/school.aspx,REVIEW,no_lunch_data_reported,"Director: BRYCE PFLEGER. Source: FLDOE Private School Directory, Orange County."
Christian Victory Academy Of Central Fl,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 924-7869,paula@christianvictoryacademy.org,"383 MEDALLION PLACE, CHULUOTA, FL 32766",Chuluota,Orange,K-12,YES,YES,YES,VALID,39,,https://www.schooldigger.com/go/FL/schools/9999977927/school.aspx,REVIEW,no_lunch_data_reported,"Director: PAULA WILLIAMSON. Source: FLDOE Private School Directory, Orange County."
Cid Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(321) 424-3068,coordinacion@cdiopendoors.com,"2649 CRESCENT LAKE CT WINDERM, ORLANDO, FL 34786",Orlando,Orange,PK-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: TATIANA BUSTAMANTE. Source: FLDOE Private School Directory, Orange County."
Circle Christian School Winter Garden,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 740-8877,gretchens@circlechristianschool.org,"16796 DAVENPORT ROAD, WINTER GARDEN, FL 34787",Winter Garden,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: GRETCHEN SIMMONDS. Source: FLDOE Private School Directory, Orange County."
Circle Christian School Winter Park,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 740-8877,kellyc@circlechristianschool.org,"1199 CLAY STREET, WINTER PARK, FL 32789",Winter Park,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: KELLY COLANGELO. Source: FLDOE Private School Directory, Orange County."
Continuum,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(689) 600-4444,syelenosky@continuummontessori.com,"13205 REAMS ROAD SUITE 132, WINDERMERE, FL 34786",Windermere,Orange,K-12,YES,YES,YES,VALID,66,,https://www.schooldigger.com/go/FL/schools/9999900069/school.aspx,REVIEW,no_lunch_data_reported,"Director: STEPHANIE YELENOSKY. Source: FLDOE Private School Directory, Orange County."
Core Prep,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 848-0306,info@yourcoreprep.com,"50 W MAGNOLIA ST 50 W MAGNOLIA ST., OVIEDO, FL 32765",Oviedo,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: ANDREW DEES. Source: FLDOE Private School Directory, Orange County."
Covenant Journey Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 875-1967,tmatthews@cj.academy,"1053 MAITLAND CTR COMMONS BLVD, MAITLAND, FL 32750",Maitland,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: TIM MATTHEWS. Source: FLDOE Private School Directory, Orange County."
Creative Global Schools,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 479-8368,creativeglobalschools@gmail.com,"1808 EAST CENTRAL BLVD, ORLANDO, FL 32803",Orlando,Orange,K-12,YES,YES,YES,VALID,31,,https://www.schooldigger.com/go/FL/schools/9999900072/school.aspx,REVIEW,no_lunch_data_reported,"Director: KIM LUNDY. Source: FLDOE Private School Directory, Orange County."
Crenshaw Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 757-2241,bcrenshaw@thecrenshawacademy.com,"2342 HEMPEL AVE., GOTHA, FL 34734",Gotha,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: TANYA WILLIAMS. Source: FLDOE Private School Directory, Orange County."
Crenshaw School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 420-0038,priscilla@plurisacademy.com,"11520 S. APOPKA VINELAND ROAD, ORLANDO, FL 32836",Orlando,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: PRISCILLA ARAUJO. Source: FLDOE Private School Directory, Orange County."
Cvv Preschool And Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 464-2188,pastoraalma@cvvacademy.org,"6837 LAKEVILLE RD., ORLANDO, FL 32818",Orlando,Orange,PK-12,YES,YES,YES,VALID,225,,https://www.schooldigger.com/go/FL/schools/9999900075/school.aspx,REVIEW,no_lunch_data_reported,"Director: ALMA ROBLES. Source: FLDOE Private School Directory, Orange County."
Destiny Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 276-2118,dr.dabrio@yahoo.com,"332 CASSIA DRIVE, DAVENPORT, FL 33897",Davenport,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: BEVON DABRIO. Source: FLDOE Private School Directory, Orange County."
Divine Knowledge Institute,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 223-2605,takishasims@yahoo.com,"6250 EDGEWATER DRIVE SUITE 500, ORLANDO, FL 32810",Orlando,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: TAKISHA R SIMS. Source: FLDOE Private School Directory, Orange County."
Divinely Ordered Prep School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(321) 299-4684,dochildcare@yahoo.com,"1336 NORTH PINE HILLS ROAD, ORLANDO, FL 32808",Orlando,Orange,PK-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: DENA ELMORE. Source: FLDOE Private School Directory, Orange County."
Domdidi Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(321) 800-4488,admin@domdidiacademy.com,"6837 WEST COLONIAL DR, ORLANDO, FL 32818",Orlando,Orange,PK-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: DOMINIQUE MATHURIN. Source: FLDOE Private School Directory, Orange County."
Downey Christian School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 275-0340,dees.enterprises@yahoo.com,"10201 EAST COLONIAL DRIVE, ORLANDO, FL 32817",Orlando,Orange,K-12,YES,YES,YES,VALID,268,,https://www.schooldigger.com/go/FL/schools/9999951393/school.aspx,REVIEW,no_lunch_data_reported,"Director: CHARLES T. DEES. Source: FLDOE Private School Directory, Orange County."
Dream Big Academy Of Learning Dba Great Beg,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 537-0033,kbradwell.dba@gmail.com,"115 9TH STREET, WINTER GARDEN, FL 34787",Winter Garden,Orange,PK-12,YES,YES,YES,VALID,49,,https://www.schooldigger.com/go/FL/schools/9999977961/school.aspx,REVIEW,no_lunch_data_reported,"Director: CONTESSA K. UPSON-BRADWELL. Source: FLDOE Private School Directory, Orange County."
Eastland Christian School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 277-5858,ted.hollingsworth@eastlandbaptist.com,"9000 LAKE UNDER HILL RD., ORLANDO, FL 32825",Orlando,Orange,PK-12,YES,YES,YES,VALID,265,,https://www.schooldigger.com/go/FL/schools/9999914270/school.aspx,REVIEW,no_lunch_data_reported,"Director: TED HOLLINGSWORTH. Source: FLDOE Private School Directory, Orange County."
Edna Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(321) 866-8749,k.m.ednaacademy@gmail.com,"221 E. KENNEDEY BLVD., ORLANDO, FL 32751",Orlando,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: KAYLON MALLARD. Source: FLDOE Private School Directory, Orange County."
El Bethel Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 648-1978,principal_moore@ebcaonline.org,"3000 BRUTON BLVD., ORLANDO, FL 32805",Orlando,Orange,K-12,YES,YES,YES,VALID,49,,https://www.schooldigger.com/go/FL/schools/9999914285/school.aspx,REVIEW,no_lunch_data_reported,"Director: ALLISON RILEY-MOORE. Source: FLDOE Private School Directory, Orange County."
Elisha American Artistic Preparatory Academ,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(689) 273-2272,admin@elisha.academy,"350 E. CROWN POINT ROAD STE 1110, WINTER GARDEN, FL 34787",Winter Garden,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: JENDAYI WEALTH-PHILLIPS. Source: FLDOE Private School Directory, Orange County."
Elite Preparatory Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 855-5811,mshong@elitepreparatoryacademy.net,"1636 WEST OAK RIDGE ROAD, ORLANDO, FL 32809",Orlando,Orange,K-12,YES,YES,YES,VALID,356,,https://www.schooldigger.com/go/FL/schools/9999932657/school.aspx,REVIEW,no_lunch_data_reported,"Director: ALBERT STEELE. Source: FLDOE Private School Directory, Orange County."
Faith Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 290-2986,faithacademyorlando@gmail.com,"3832 W. NEW HAMPSHIRE STREET, ORLANDO, FL 32808",Orlando,Orange,K-12,YES,YES,YES,VALID,39,,https://www.schooldigger.com/go/FL/schools/9999959361/school.aspx,REVIEW,no_lunch_data_reported,"Director: ALEXIS FREEMAN. Source: FLDOE Private School Directory, Orange County."
Faith Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 275-8031,carringtona@fcalions.org,"9307 CURRY FORD ROAD, ORLANDO, FL 32825-8544",Orlando,Orange,K-12,YES,YES,YES,VALID,594,,https://www.schooldigger.com/go/FL/schools/9999944930/school.aspx,REVIEW,no_lunch_data_reported,"Director: ANGELA CARRINGTON. Source: FLDOE Private School Directory, Orange County."
Family Christian Academy Orlando,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 568-9837,dpaynter@fcaorlando.com,"15060 OLD CHENEY HWY, ORLANDO, FL 32828",Orlando,Orange,K-12,YES,YES,YES,VALID,259,,https://www.schooldigger.com/go/FL/schools/9999939247/school.aspx,REVIEW,no_lunch_data_reported,"Director: DANA PAYNTER. Source: FLDOE Private School Directory, Orange County."
First Phase Core Academy Inc.,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 203-8918,fpca15@gmail.com,"6101 DENSON DRIVE, ORLANDO, FL 32808",Orlando,Orange,PK-12,YES,YES,YES,VALID,38,,https://www.schooldigger.com/go/FL/schools/9999951419/school.aspx,REVIEW,no_lunch_data_reported,"Director: MARILYN SANTIZO-PEREZ. Source: FLDOE Private School Directory, Orange County."
Future Leaders Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 985-3747,bcfrank407@aol.com,"639 NORTH PINE HILLS RD, ORLANDO, FL 32808",Orlando,Orange,PK-12,YES,YES,YES,VALID,70,,https://www.schooldigger.com/go/FL/schools/9999948080/school.aspx,REVIEW,no_lunch_data_reported,"Director: BRIDGETTE FRANKLIN. Source: FLDOE Private School Directory, Orange County."
Glad Tidings Academy- East,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 656-4140,mrsangie@ocoeegt.com,"8550 CLARCONA OCOEE RD, ORLANDO, FL 32818",Orlando,Orange,PK-12,YES,YES,YES,VALID,212,,https://www.schooldigger.com/go/FL/schools/9999939519/school.aspx,REVIEW,no_lunch_data_reported,"Director: ANGELA FOBES. Source: FLDOE Private School Directory, Orange County."
Grace Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 382-1935,drice@gcapatriots.com,"5401 CURRY FORD RD, ORLANDO, FL 32812",Orlando,Orange,K-12,YES,YES,YES,VALID,45,,https://www.schooldigger.com/go/FL/schools/9999914441/school.aspx,REVIEW,no_lunch_data_reported,"Director: DONALD RICE. Source: FLDOE Private School Directory, Orange County."
Greater Oasis Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 250-6781,gocaforchrist12@gmail.com,"6332 W. COLONIAL DRIVE, ORLANDO, FL 32818",Orlando,Orange,K-12,YES,YES,YES,VALID,268,,https://www.schooldigger.com/go/FL/schools/9999978005/school.aspx,REVIEW,no_lunch_data_reported,"Director: JULIETTE CESAR. Source: FLDOE Private School Directory, Orange County."
Greater Vision Preparatory Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 461-7762,info@gvpreparatoryacademy.com,"788 MONTGOMERY AVE, OCOEE, FL 34761",Ocoee,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: CHEVON STALLWORTH. Source: FLDOE Private School Directory, Orange County."
Growing Together Academy Inc.,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 616-9943,carloshpereda@outlook.com,"843 WOODBURY RD., ORLANDO, FL 32828",Orlando,Orange,PK-12,YES,YES,YES,VALID,331,,https://www.schooldigger.com/go/FL/schools/9999951455/school.aspx,REVIEW,no_lunch_data_reported,"Director: CARLOS PEREDA. Source: FLDOE Private School Directory, Orange County."
Hampden Dubose Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 880-4321,pennyboccuzzo@hampdenduboseacademy.com,"3700 DOHNAVUR DRIVE., ZELLWOOD, FL 32798",Zellwood,Orange,K-12,YES,YES,YES,VALID,278,,https://www.schooldigger.com/go/FL/schools/9999936208/school.aspx,REVIEW,no_lunch_data_reported,"Director: PENELOPE BOCCUZZO. Source: FLDOE Private School Directory, Orange County."
Harvest Baptist Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 872-0025,iataylor.hbca@gmail.com,"512 S. PARRAMORE AVENUE, ORLANDO, FL 32805",Orlando,Orange,K-11,YES,YES,YES,VALID,18,,https://www.schooldigger.com/go/FL/schools/9999914497/school.aspx,REVIEW,no_lunch_data_reported,"Director: PASTOR GLENDY HAMILTON. Source: FLDOE Private School Directory, Orange County."
Heritage Preparatory School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 293-6000,drbrds22@aol.com,"6000 WEST COLONIAL DRIVE, ORLANDO, FL 32808-0400",Orlando,Orange,PK-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: DR. BARBARA STEWART. Source: FLDOE Private School Directory, Orange County."
Higher Dimension Of Learning Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 237-0112,marswordss@yahoo.com,"44 COBURN AVE, ORLANDO, FL 32805",Orlando,Orange,K-10,YES,YES,YES,VALID,17,,https://www.schooldigger.com/go/FL/schools/9999978016/school.aspx,REVIEW,no_lunch_data_reported,"Director: PATRICIA MARIE NEWMAN. Source: FLDOE Private School Directory, Orange County."
Hope Bridge Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(863) 307-1290,jillisa.tarver@jtbehavioral.com,"700 FORREST CITY RD STE 110, ORLANDO, FL 32810",Orlando,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: JILLISA TARVER. Source: FLDOE Private School Directory, Orange County."
Hope Preparatory Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 965-8913,naele67@hotmail.com,"126 N.HART BLVD., ORLANDO, FL 32835",Orlando,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: MARIA MILORD. Source: FLDOE Private School Directory, Orange County."
Horace Grace Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 436-5218,jaywalker@horacegrace.com,"6101 DENSON DRIVE, ORLANDO, FL 32808",Orlando,Orange,PK-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: TJUNIA WALKER. Source: FLDOE Private School Directory, Orange County."
House Of Academia Dba Academia Private Schl,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 473-3187,sophiakhan.hoa@gmail.com,"1150 ELBOC WAY, WINTER GARDEN, FL 34787",Winter Garden,Orange,K-12,YES,YES,YES,VALID,81,,https://www.schooldigger.com/go/FL/schools/9999900117/school.aspx,REVIEW,no_lunch_data_reported,"Director: SOPHIA KHAN. Source: FLDOE Private School Directory, Orange County."
I Can Do It Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 576-0646,online@icandoit.academy,"1707 FULLERS OAK LOOP, WINTER GARDEN, FL 34787",Winter Garden,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: MOACIR RODRIGUES. Source: FLDOE Private School Directory, Orange County."
Ibn Seena Academy Inc.,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 888-1000,rhemmali@ibnseenaacademy.org,"12908 S. ORANGE BLOSSOM TRAIL STE.102, ORLANDO, FL 32837",Orlando,Orange,PK-12,YES,YES,YES,VALID,343,,https://www.schooldigger.com/go/FL/schools/9999932714/school.aspx,REVIEW,no_lunch_data_reported,"Director: REHANNAH HEMMALI. Source: FLDOE Private School Directory, Orange County."
Illuminated Path International Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(530) 276-7893,illuminatedpathcoaching@gmail.com,"1317 EDGEWATER DRIVE # 6141, ORLANDO, FL 32804",Orlando,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: BRENDAN FURNARI. Source: FLDOE Private School Directory, Orange County."
Inspire Preparatory Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 988-7372,s.livingston@inspirecad.com,"5362 SILVER STAR ROAD, ORLANDO, FL 32808",Orlando,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: SABRINA M. LIVINGSTON. Source: FLDOE Private School Directory, Orange County."
J.M.G.C. Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 300-4354,phuong@jmgcacademy.org,"2550 W. COLONIAL DR. STE 300, ORLANDO, FL 32804",Orlando,Orange,K-12,YES,YES,YES,VALID,12,,https://www.schooldigger.com/go/FL/schools/9999978041/school.aspx,REVIEW,no_lunch_data_reported,"Director: PHUONG HEPBURN. Source: FLDOE Private School Directory, Orange County."
Jmj Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 464-9100,jmjacademy@juno.com,"P.O. BOX 680770, ORLANDO, FL 32868",Orlando,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: JOHN PREVOSK. Source: FLDOE Private School Directory, Orange County."
