school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,free_discounted_lunch_pct,schooldigger_url,business_fit,business_fit_reason,notes
Cypress Springs Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://cypressspringses.ocps.net,,cypresssprings_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,619,32.3,https://www.schooldigger.com/go/FL/schools/0144002919/school.aspx,GOOD_MATCH,students=619>=200; lunch=32.3%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Deerwood Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://deerwoodes.ocps.net,,deerwood_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,472,40.3,https://www.schooldigger.com/go/FL/schools/0144002475/school.aspx,GOOD_MATCH,students=472>=200; lunch=40.3%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Dillard Street Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://dillardstreetes.ocps.net,,dillardstreet_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,466,44.8,https://www.schooldigger.com/go/FL/schools/0144001389/school.aspx,GOOD_MATCH,students=466>=200; lunch=44.8%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Dommerich Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://dommeriches.ocps.net,,,,,Orange,K-5,YES,YES,YES,VALID,611,10.3,https://www.schooldigger.com/go/FL/schools/0144001432/school.aspx,GOOD_MATCH,students=611>=200; lunch=10.3%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Dr. Phillips Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://drphillipses.ocps.net,,drphillips_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,638,25.2,https://www.schooldigger.com/go/FL/schools/0144002220/school.aspx,GOOD_MATCH,students=638>=200; lunch=25.2%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Eagle Creek Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://eaglecreekes.ocps.net,,eaglecreek_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,827,17.8,https://www.schooldigger.com/go/FL/schools/0144008479/school.aspx,GOOD_MATCH,students=827>=200; lunch=17.8%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Endeavor Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://endeavores.ocps.net,,endeavor_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,593,34.9,https://www.schooldigger.com/go/FL/schools/0144004396/school.aspx,GOOD_MATCH,students=593>=200; lunch=34.9%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hamlin Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://hamlines.ocps.net,,hamlin_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,549,9.5,https://www.schooldigger.com/go/FL/schools/0144008845/school.aspx,GOOD_MATCH,students=549>=200; lunch=9.5%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hidden Oaks Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://hiddenoakses.ocps.net,,hiddenoaks_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,403,43.7,https://www.schooldigger.com/go/FL/schools/0144002862/school.aspx,GOOD_MATCH,students=403>=200; lunch=43.7%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hillcrest Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://hillcrestes.ocps.net,,hillcrest_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,489,11.7,https://www.schooldigger.com/go/FL/schools/0144001370/school.aspx,GOOD_MATCH,students=489>=200; lunch=11.7%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hunter's Creek Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://hunterscreekes.ocps.net,,hunterscreek_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,749,31.6,https://www.schooldigger.com/go/FL/schools/0144002926/school.aspx,GOOD_MATCH,students=749>=200; lunch=31.6%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Independence Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://independencees.ocps.net,,independence_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,889,11.5,https://www.schooldigger.com/go/FL/schools/0144008330/school.aspx,GOOD_MATCH,students=889>=200; lunch=11.5%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Keene's Crossing Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://keenescrossinges.ocps.net,,keenescrossing_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,954,14.2,https://www.schooldigger.com/go/FL/schools/0144007567/school.aspx,GOOD_MATCH,students=954>=200; lunch=14.2%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lake Whitney Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lakewhitneyes.ocps.net,,lakewhitney_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,549,17.1,https://www.schooldigger.com/go/FL/schools/0144003221/school.aspx,GOOD_MATCH,students=549>=200; lunch=17.1%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lakemont Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lakemontes.ocps.net,,lakemont_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,629,35.5,https://www.schooldigger.com/go/FL/schools/0144001394/school.aspx,GOOD_MATCH,students=629>=200; lunch=35.5%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Laureate Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://laureateparkes.ocps.net,,laureatepark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,1220,10.7,https://www.schooldigger.com/go/FL/schools/0144008493/school.aspx,GOOD_MATCH,students=1220>=200; lunch=10.7%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
MetroWest Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://metrowestes.ocps.net,,metrowest_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,549,40.4,https://www.schooldigger.com/go/FL/schools/0144002621/school.aspx,GOOD_MATCH,students=549>=200; lunch=40.4%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Millennia Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://millenniaes.ocps.net,,millennia_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,858,41.7,https://www.schooldigger.com/go/FL/schools/0144005018/school.aspx,GOOD_MATCH,students=858>=200; lunch=41.7%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Moss Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://mossparkes.ocps.net,,mosspark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,842,18.5,https://www.schooldigger.com/go/FL/schools/0144005021/school.aspx,GOOD_MATCH,students=842>=200; lunch=18.5%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
NorthLake Park Community School,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://northlakees.ocps.net,,northlakeparkcommunity_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,608,15.5,https://www.schooldigger.com/go/FL/schools/0144003629/school.aspx,GOOD_MATCH,students=608>=200; lunch=15.5%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Palm Lake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://palmlakees.ocps.net,,palmlake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,574,31.5,https://www.schooldigger.com/go/FL/schools/0144002573/school.aspx,GOOD_MATCH,students=574>=200; lunch=31.5%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Panther Lake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://pantherlakees.ocps.net,,pantherlake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,797,11.0,https://www.schooldigger.com/go/FL/schools/0144008944/school.aspx,GOOD_MATCH,students=797>=200; lunch=11.0%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Princeton Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://princetones.ocps.net,,princeton_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,444,24.5,https://www.schooldigger.com/go/FL/schools/0144001374/school.aspx,GOOD_MATCH,students=444>=200; lunch=24.5%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sand Lake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sandlakees.ocps.net,,sandlake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,733,32.3,https://www.schooldigger.com/go/FL/schools/0144005026/school.aspx,GOOD_MATCH,students=733>=200; lunch=32.3%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Stone Lakes Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://stonelakeses.ocps.net,,stonelakes_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,617,28.4,https://www.schooldigger.com/go/FL/schools/0144005033/school.aspx,GOOD_MATCH,students=617>=200; lunch=28.4%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Stonewyck Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://stonewyckes.ocps.net,,stonewyck_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,660,32.1,https://www.schooldigger.com/go/FL/schools/0144009029/school.aspx,GOOD_MATCH,students=660>=200; lunch=32.1%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Summerlake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://summerlakees.ocps.net,,summerlake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,726,8.4,https://www.schooldigger.com/go/FL/schools/0144008686/school.aspx,GOOD_MATCH,students=726>=200; lunch=8.4%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sun Blaze Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunblazees.ocps.net,,sunblaze_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,1150,20.1,https://www.schooldigger.com/go/FL/schools/0144008170/school.aspx,GOOD_MATCH,students=1150>=200; lunch=20.1%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
SunRidge Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunridgees.ocps.net,,sunridge_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,629,41.0,https://www.schooldigger.com/go/FL/schools/0144007743/school.aspx,GOOD_MATCH,students=629>=200; lunch=41.0%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sunrise Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunrisees.ocps.net,,sunrise_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,456,24.1,https://www.schooldigger.com/go/FL/schools/0144003220/school.aspx,GOOD_MATCH,students=456>=200; lunch=24.1%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sunset Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunsetparkes.ocps.net,,sunsetpark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,699,18.5,https://www.schooldigger.com/go/FL/schools/0144005034/school.aspx,GOOD_MATCH,students=699>=200; lunch=18.5%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sunshine Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunshinees.ocps.net,,sunshine_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,1015,35.6,https://www.schooldigger.com/go/FL/schools/0144008740/school.aspx,GOOD_MATCH,students=1015>=200; lunch=35.6%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Thornebrooke Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://thornebrookees.ocps.net,,thornebrooke_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,561,29.6,https://www.schooldigger.com/go/FL/schools/0144003887/school.aspx,GOOD_MATCH,students=561>=200; lunch=29.6%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Tildenville Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://tildenvillees.ocps.net,,tildenville_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,738,29.0,https://www.schooldigger.com/go/FL/schools/0144001381/school.aspx,GOOD_MATCH,students=738>=200; lunch=29.0%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Timber Lakes Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://timberlakeses.ocps.net,,timberlakes_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,610,25.1,https://www.schooldigger.com/go/FL/schools/0144007434/school.aspx,GOOD_MATCH,students=610>=200; lunch=25.1%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Village Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://villageparkes.ocps.net,,villagepark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,597,22.1,https://www.schooldigger.com/go/FL/schools/0144009028/school.aspx,GOOD_MATCH,students=597>=200; lunch=22.1%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Vista Lakes Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://vistalakeses.ocps.net,,vistalakes_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,520,34.8,https://www.schooldigger.com/go/FL/schools/0144005029/school.aspx,GOOD_MATCH,students=520>=200; lunch=34.8%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Water Spring Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://waterspringes.ocps.net,,waterspring_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,1013,15.6,https://www.schooldigger.com/go/FL/schools/0144008611/school.aspx,GOOD_MATCH,students=1013>=200; lunch=15.6%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Waterbridge Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://waterbridgees.ocps.net,,waterbridge_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,644,40.7,https://www.schooldigger.com/go/FL/schools/0144002859/school.aspx,GOOD_MATCH,students=644>=200; lunch=40.7%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Waterford Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://waterfordes.ocps.net,,waterford_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,532,38.0,https://www.schooldigger.com/go/FL/schools/0144002860/school.aspx,GOOD_MATCH,students=532>=200; lunch=38.0%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
West Creek Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://westcreekes.ocps.net,,westcreek_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,565,23.5,https://www.schooldigger.com/go/FL/schools/0144004008/school.aspx,GOOD_MATCH,students=565>=200; lunch=23.5%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Westbrooke Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://westbrookees.ocps.net,,westbrooke_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,534,29.4,https://www.schooldigger.com/go/FL/schools/0144005019/school.aspx,GOOD_MATCH,students=534>=200; lunch=29.4%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Westpointe Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://westpointees.ocps.net,,westpointe_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,683,32.1,https://www.schooldigger.com/go/FL/schools/0144008480/school.aspx,GOOD_MATCH,students=683>=200; lunch=32.1%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Wetherbee Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://wetherbeees.ocps.net,,wetherbee_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,939,30.6,https://www.schooldigger.com/go/FL/schools/0144007523/school.aspx,GOOD_MATCH,students=939>=200; lunch=30.6%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Whispering Oak Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://whisperingoakes.ocps.net,,whisperingoak_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,774,14.7,https://www.schooldigger.com/go/FL/schools/0144005642/school.aspx,GOOD_MATCH,students=774>=200; lunch=14.7%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Windermere Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://windermerees.ocps.net,,windermere_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,574,8.0,https://www.schooldigger.com/go/FL/schools/0144001434/school.aspx,GOOD_MATCH,students=574>=200; lunch=8.0%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Wolf Lake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://wolflakees.ocps.net,,wolflake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,710,38.7,https://www.schooldigger.com/go/FL/schools/0144005028/school.aspx,GOOD_MATCH,students=710>=200; lunch=38.7%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Wyndham Lakes Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://wyndhamlakeses.ocps.net,,wyndhamlakes_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,592,42.4,https://www.schooldigger.com/go/FL/schools/0144005027/school.aspx,GOOD_MATCH,students=592>=200; lunch=42.4%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Arbor Ridge K-8,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://arborridgek8.ocps.net,,arborridge_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,756,38.8,https://www.schooldigger.com/go/FL/schools/0144002685/school.aspx,GOOD_MATCH,students=756>=200; lunch=38.8%<=45%,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Audubon Park School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://audubonparkk8.ocps.net,,audubonpark_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,1184,14.3,https://www.schooldigger.com/go/FL/schools/0144008698/school.aspx,GOOD_MATCH,students=1184>=200; lunch=14.3%<=45%,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Blankner School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://blanknerk8.ocps.net,,blankner_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,824,26.2,https://www.schooldigger.com/go/FL/schools/0144001400/school.aspx,GOOD_MATCH,students=824>=200; lunch=26.2%<=45%,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Kelly Park School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://kellyparkk8.ocps.net,,kellyparkschool@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,1073,29.7,https://www.schooldigger.com/go/FL/schools/0144008786/school.aspx,GOOD_MATCH,students=1073>=200; lunch=29.7%<=45%,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Lake Como School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://lakecomok8.ocps.net,,lakecomo_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,928,44.5,https://www.schooldigger.com/go/FL/schools/0144001372/school.aspx,GOOD_MATCH,students=928>=200; lunch=44.5%<=45%,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Orlando Gifted Academy,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://orlandogiftedacademy.ocps.net,,orlandogiftedacademy_es@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,442,12.0,https://www.schooldigger.com/go/FL/schools/0144008645/school.aspx,GOOD_MATCH,students=442>=200; lunch=12.0%<=45%,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Pershing School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://pershingk8.ocps.net,,pershing_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,1057,31.0,https://www.schooldigger.com/go/FL/schools/0144001425/school.aspx,GOOD_MATCH,students=1057>=200; lunch=31.0%<=45%,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Wedgefield School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://wedgefieldk8.ocps.net,,wedgefield_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,959,29.8,https://www.schooldigger.com/go/FL/schools/0144008416/school.aspx,GOOD_MATCH,students=959>=200; lunch=29.8%<=45%,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Windy Ridge K-8,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://windyridgek8.ocps.net,,windyridge_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,1136,23.6,https://www.schooldigger.com/go/FL/schools/0144002780/school.aspx,GOOD_MATCH,students=1136>=200; lunch=23.6%<=45%,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Cornerstone Academy Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 608-7171,Jorge.rivas@ocps.net,"906 Waltham Ave, Belle Isle, FL 32809",Belle Isle,Orange,K-8,YES,YES,YES,VALID,1094,33.4,https://www.schooldigger.com/go/FL/schools/0144007801/school.aspx,GOOD_MATCH,students=1094>=200; lunch=33.4%<=45%,"Principal: Jorge Rivas. Source: FLDOE Charter School Portal, Orange County list."
Hope Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 656-4673,maurio.medley@ocps.net,"1550 E Crown Point Rd, Ocoee, FL 34761",Ocoee,Orange,K-8,YES,YES,YES,VALID,417,0.7,https://www.schooldigger.com/go/FL/schools/0144003738/school.aspx,GOOD_MATCH,students=417>=200; lunch=0.7%<=45%,"Principal: Maurio Medley. Source: FLDOE Charter School Portal, Orange County list."
