school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,white_pct,schooldigger_url,business_fit,business_fit_reason,notes
Lake Whitney Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lakewhitneyes.ocps.net,,lakewhitney_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,549,55.9,https://www.schooldigger.com/go/FL/schools/0144003221/school.aspx,GOOD_MATCH,White is not highest racial group (White at 55.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Palm Lake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://palmlakees.ocps.net,,palmlake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,574,39.9,https://www.schooldigger.com/go/FL/schools/0144002573/school.aspx,GOOD_MATCH,White is not highest racial group (White at 39.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Princeton Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://princetones.ocps.net,,princeton_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,444,62.2,https://www.schooldigger.com/go/FL/schools/0144001374/school.aspx,GOOD_MATCH,White is not highest racial group (White at 62.2%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Summerlake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://summerlakees.ocps.net,,summerlake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,726,51.9,https://www.schooldigger.com/go/FL/schools/0144008686/school.aspx,GOOD_MATCH,White is not highest racial group (White at 51.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sunrise Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunrisees.ocps.net,,sunrise_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,456,44.1,https://www.schooldigger.com/go/FL/schools/0144003220/school.aspx,GOOD_MATCH,White is not highest racial group (White at 44.1%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Thornebrooke Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://thornebrookees.ocps.net,,thornebrooke_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,561,48.1,https://www.schooldigger.com/go/FL/schools/0144003887/school.aspx,GOOD_MATCH,White is not highest racial group (White at 48.1%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Westbrooke Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://westbrookees.ocps.net,,westbrooke_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,534,34.3,https://www.schooldigger.com/go/FL/schools/0144005019/school.aspx,GOOD_MATCH,White is not highest racial group (White at 34.3%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Whispering Oak Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://whisperingoakes.ocps.net,,whisperingoak_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,774,51.2,https://www.schooldigger.com/go/FL/schools/0144005642/school.aspx,GOOD_MATCH,White is not highest racial group (White at 51.2%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Windermere Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://windermerees.ocps.net,,windermere_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,574,62.4,https://www.schooldigger.com/go/FL/schools/0144001434/school.aspx,GOOD_MATCH,White is not highest racial group (White at 62.4%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Audubon Park School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://audubonparkk8.ocps.net,,audubonpark_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,1184,62.8,https://www.schooldigger.com/go/FL/schools/0144008698/school.aspx,GOOD_MATCH,White is not highest racial group (White at 62.8%),Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Blankner School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://blanknerk8.ocps.net,,blankner_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,824,52.9,https://www.schooldigger.com/go/FL/schools/0144001400/school.aspx,GOOD_MATCH,White is not highest racial group (White at 52.9%),Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Kelly Park School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://kellyparkk8.ocps.net,,kellyparkschool@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,1073,39.2,https://www.schooldigger.com/go/FL/schools/0144008786/school.aspx,GOOD_MATCH,White is not highest racial group (White at 39.2%),Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Lake Como School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://lakecomok8.ocps.net,,lakecomo_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,928,35.5,https://www.schooldigger.com/go/FL/schools/0144001372/school.aspx,GOOD_MATCH,White is not highest racial group (White at 35.5%),Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Orlando Gifted Academy,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://orlandogiftedacademy.ocps.net,,orlandogiftedacademy_es@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,442,49.1,https://www.schooldigger.com/go/FL/schools/0144008645/school.aspx,GOOD_MATCH,White is not highest racial group (White at 49.1%),Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Pershing School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://pershingk8.ocps.net,,pershing_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,1057,50.8,https://www.schooldigger.com/go/FL/schools/0144001425/school.aspx,GOOD_MATCH,White is not highest racial group (White at 50.8%),Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Wedgefield School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://wedgefieldk8.ocps.net,,wedgefield_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,959,50.1,https://www.schooldigger.com/go/FL/schools/0144008416/school.aspx,GOOD_MATCH,White is not highest racial group (White at 50.1%),Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Cornerstone Academy Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 608-7171,Jorge.rivas@ocps.net,"906 Waltham Ave, Belle Isle, FL 32809",Belle Isle,Orange,K-8,YES,YES,YES,VALID,1094,46.3,https://www.schooldigger.com/go/FL/schools/0144007801/school.aspx,GOOD_MATCH,White is not highest racial group (White at 46.3%),"Principal: Jorge Rivas. Source: FLDOE Charter School Portal, Orange County list."
Hope Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 656-4673,maurio.medley@ocps.net,"1550 E Crown Point Rd, Ocoee, FL 34761",Ocoee,Orange,K-8,YES,YES,YES,VALID,417,54.0,https://www.schooldigger.com/go/FL/schools/0144003738/school.aspx,GOOD_MATCH,White is not highest racial group (White at 54.0%),"Principal: Maurio Medley. Source: FLDOE Charter School Portal, Orange County list."
Innovation Montessori Ocoee,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 654-2045,cathy@innovationmontessori.com,"1644 N Lakewood Ave, Ocoee, FL 34761",Ocoee,Orange,K-12,YES,YES,YES,VALID,919,38.8,https://www.schooldigger.com/go/FL/schools/0144007955/school.aspx,GOOD_MATCH,White is not highest racial group (White at 38.8%),"Principal: Cathy Tobin. Source: FLDOE Charter School Portal, Orange County list."
Oakland Avenue Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 877-2039,pdwyer@oaklandfl.org,"456 E Oakland Ave, Oakland, FL 34760",Oakland,Orange,K-5,YES,YES,YES,VALID,519,64.0,https://www.schooldigger.com/go/FL/schools/0144004115/school.aspx,GOOD_MATCH,White is not highest racial group (White at 64.0%),"Principal: Pamela Dwyer. Source: FLDOE Charter School Portal, Orange County list."
Faith Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 275-8031,carringtona@fcalions.org,"9307 CURRY FORD ROAD, ORLANDO, FL 32825-8544",Orlando,Orange,K-12,YES,YES,YES,VALID,594,33.3,https://www.schooldigger.com/go/FL/schools/9999944930/school.aspx,GOOD_MATCH,White highest at 33.3% (594 enrolled),"Director: ANGELA CARRINGTON. Source: FLDOE Private School Directory, Orange County."
Family Christian Academy Orlando,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 568-9837,dpaynter@fcaorlando.com,"15060 OLD CHENEY HWY, ORLANDO, FL 32828",Orlando,Orange,K-12,YES,YES,YES,VALID,259,62.5,https://www.schooldigger.com/go/FL/schools/9999939247/school.aspx,GOOD_MATCH,White highest at 62.5% (259 enrolled),"Director: DANA PAYNTER. Source: FLDOE Private School Directory, Orange County."
Vanguard Preparatory Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(855) 765-4872,rferrell@vanguardprepacademy.org,"9100 CONROY WINDERMERE RD 200, WINDERMERE, FL 34786",Windermere,Orange,K-12,YES,YES,YES,VALID,395,47.6,https://www.schooldigger.com/go/FL/schools/9999900263/school.aspx,GOOD_MATCH,White highest at 47.6% (395 enrolled),"Director: RICK FERRELL. Source: FLDOE Private School Directory, Orange County."
