school_name,school_type,address,city,county,phone,email,official_website,grades_raw,county_fit,grade_fit,school_type_fit,source_system,source_url,verification_status,notes
Hamlin Elementary,public_elementary,,,Orange,,,https://hamlines.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hiawassee Elementary,public_elementary,,,Orange,,,https://hiawasseees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hidden Oaks Elementary,public_elementary,,,Orange,,,https://hiddenoakses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hillcrest Elementary,public_elementary,,,Orange,,,https://hillcrestes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hungerford Elementary,public_elementary,,,Orange,,,https://hungerfordes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hunter's Creek Elementary,public_elementary,,,Orange,,,https://hunterscreekes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Independence Elementary,public_elementary,,,Orange,,,https://independencees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Ivey Lane Elementary,public_elementary,,,Orange,,,https://iveylanees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
John Young Elementary,public_elementary,,,Orange,,,https://johnyounges.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Keene's Crossing Elementary,public_elementary,,,Orange,,,https://keenescrossinges.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Killarney Elementary,public_elementary,,,Orange,,,https://killarneyes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lake Gem Elementary,public_elementary,,,Orange,,,https://lakegemes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lake George Elementary,public_elementary,,,Orange,,,https://lakegeorgees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lake Silver Elementary,public_elementary,,,Orange,,,https://lakesilveres.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lake Sybelia Elementary,public_elementary,,,Orange,,,https://lakesybeliaes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lake Weston Elementary,public_elementary,,,Orange,,,https://lakewestones.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lake Whitney Elementary,public_elementary,,,Orange,,,https://lakewhitneyes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lakemont Elementary,public_elementary,,,Orange,,,https://lakemontes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lakeville Elementary,public_elementary,,,Orange,,,https://lakevillees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lancaster Elementary,public_elementary,,,Orange,,,https://lancasteres.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Laureate Park Elementary,public_elementary,,,Orange,,,https://laureateparkes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lawton Chiles Elementary,public_elementary,,,Orange,,,https://lawtonchileses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Little River Elementary,public_elementary,,,Orange,,,https://littleriveres.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lockhart Elementary,public_elementary,,,Orange,,,https://lockhartes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lovell Elementary,public_elementary,,,Orange,,,https://lovelles.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Luminary Elementary,public_elementary,,,Orange,,,https://luminaryes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Maxey Elementary,public_elementary,,,Orange,,,https://maxeyes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
McCoy Elementary,public_elementary,,,Orange,,,https://mccoyes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Meadow Woods Elementary,public_elementary,,,Orange,,,https://meadowwoodses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
MetroWest Elementary,public_elementary,,,Orange,,,https://metrowestes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Millennia Elementary,public_elementary,,,Orange,,,https://millenniaes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Millennia Gardens Elementary,public_elementary,,,Orange,,,https://millenniagardenses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Mollie Ray Elementary,public_elementary,,,Orange,,,https://mollierayes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Moss Park Elementary,public_elementary,,,Orange,,,https://mossparkes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
NorthLake Park Community School,public_elementary,,,Orange,,,https://northlakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Oak Hill Elementary,public_elementary,,,Orange,,,https://oakhilles.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Oakshire Elementary,public_elementary,,,Orange,,,https://oakshirees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Ocoee Elementary,public_elementary,,,Orange,,,https://ocoeees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Orange Center Elementary,public_elementary,,,Orange,,,https://orangecenteres.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Orlo Vista Elementary,public_elementary,,,Orange,,,https://orlovistaes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Palm Lake Elementary,public_elementary,,,Orange,,,https://palmlakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Palmetto Elementary,public_elementary,,,Orange,,,https://palmettoes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Panther Lake Elementary,public_elementary,,,Orange,,,https://pantherlakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Phillis Wheatley Elementary,public_elementary,,,Orange,,,https://wheatleyes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Pinar Elementary,public_elementary,,,Orange,,,https://pinares.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Pine Hills Elementary,public_elementary,,,Orange,,,https://pinehillses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Pineloch Elementary,public_elementary,,,Orange,,,https://pineloches.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Pinewood Elementary,public_elementary,,,Orange,,,https://pinewoodes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Prairie Lake Elementary,public_elementary,,,Orange,,,https://prairielakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Princeton Elementary,public_elementary,,,Orange,,,https://princetones.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Ridgewood Park Elementary,public_elementary,,,Orange,,,https://ridgewoodparkes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Riverdale Elementary,public_elementary,,,Orange,,,https://riverdalees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Riverside Elementary,public_elementary,,,Orange,,,https://riversidees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Rock Lake Elementary,public_elementary,,,Orange,,,https://rocklakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Rock Springs Elementary,public_elementary,,,Orange,,,https://rockspringses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Rolling Hills Elementary,public_elementary,,,Orange,,,https://rollinghillses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Rosemont Elementary,public_elementary,,,Orange,,,https://rosemontes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sadler Elementary,public_elementary,,,Orange,,,https://sadleres.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sally Ride Elementary,public_elementary,,,Orange,,,https://sallyridees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sand Lake Elementary,public_elementary,,,Orange,,,https://sandlakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Shenandoah Elementary,public_elementary,,,Orange,,,https://shenandoahes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Shingle Creek Elementary,public_elementary,,,Orange,,,https://shinglecreekes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Southwood Elementary,public_elementary,,,Orange,,,https://southwoodes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Spring Lake Elementary,public_elementary,,,Orange,,,https://springlakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Stone Lakes Elementary,public_elementary,,,Orange,,,https://stonelakeses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Stonewyck Elementary,public_elementary,,,Orange,,,https://stonewyckes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Summerlake Elementary,public_elementary,,,Orange,,,https://summerlakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sun Blaze Elementary,public_elementary,,,Orange,,,https://sunblazees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
SunRidge Elementary,public_elementary,,,Orange,,,https://sunridgees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sunrise Elementary,public_elementary,,,Orange,,,https://sunrisees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sunset Park Elementary,public_elementary,,,Orange,,,https://sunsetparkes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sunshine Elementary,public_elementary,,,Orange,,,https://sunshinees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Tangelo Park Elementary,public_elementary,,,Orange,,,https://tangeloparkes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Thornebrooke Elementary,public_elementary,,,Orange,,,https://thornebrookees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Three Points Elementary,public_elementary,,,Orange,,,https://threepointses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Tildenville Elementary,public_elementary,,,Orange,,,https://tildenvillees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Timber Lakes Elementary,public_elementary,,,Orange,,,https://timberlakeses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Union Park Elementary,public_elementary,,,Orange,,,https://unionparkes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Ventura Elementary,public_elementary,,,Orange,,,https://venturaes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Village Park Elementary,public_elementary,,,Orange,,,https://villageparkes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
