school_name,school_type,address,city,county,phone,grades_raw,source_system,source_url,rejection_reason,status
Cristo Rey Orlando High School,private,"6039 S. RIO GRANDE AVE, ORLANDO, FL 32809",Orlando,Orange,(689) 337-6264,09-09,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '09-09' does not include any grade in K-5 range,rejected
Crosstown 119,private,"1030 W KALEY AVE, ORLANDO, FL 32805",Orlando,Orange,(407) 237-9516,K-09,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-09' does not include any grade in K-5 range,rejected
Davis Learning Academy Llc,private,"901 DOUGLAS AVE. SUITE 215, ALTAMONTE SPRINGS, FL 32714",Altamonte Springs,Orange,(321) 972-6624,K-03,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-03' does not include any grade in K-5 range,rejected
Deeper Root Academy,private,"8001 SILVER STAR RD, ORLANDO, FL 32818",Orlando,Orange,(484) 321-6957,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Discovery Zone Preschool,private,"11333 LAKE UNDERHILL RD., ORLANDO, FL 32825",Orlando,Orange,(407) 930-3606,PK-01,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-01' does not include any grade in K-5 range,rejected
Dreamlight High School,private,"1655 E. SEMORAN BLVD SUITE 28, APOPKA, FL 32703",Apopka,Orange,(407) 415-5821,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Dreams Educational Clinic,private,"618 E SOUTH STREET, ORLANDO, FL 32801",Orlando,Orange,(321) 977-1203,PK-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-06' does not include any grade in K-5 range,rejected
Edgewood Ranch Academy,private,"1451 EDGEWOOD RANCH ROAD, ORLANDO, FL 32835",Orlando,Orange,(407) 295-2464,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Educative El Redentor Inc.,private,"4751 OLD GOLDENROD RD. STE. 4, ORLANDO, FL 32822",Orlando,Orange,(407) 412-5948,09-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '09-12' does not include any grade in K-5 range,rejected
Elite Academy,private,"3919 WEST NEW HAMPSHIRE STREET, ORLANDO, FL 32808",Orlando,Orange,(407) 717-0697,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Elite Christian Academy,private,"1097 BROOME AVENUE, ORLANDO, FL 32811",Orlando,Orange,(321) 662-6118,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
F.M.I. S.T.E.M Academy,private,"325 OCOEE APOPKA RD., OCOEE, FL 34761",Ocoee,Orange,(407) 490-8810,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Faith Generation Academy,private,"1840 N. GOLDENROD RD., ORLANDO, FL 32807",Orlando,Orange,(321) 318-2344,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
"Family Christian School, Inc.",private,"608 W. OAKLAND AVENUE, OAKLAND, FL 34760-0521",Oakland,Orange,(407) 656-7904,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
Fataj Transition Learning Academy Inc,private,"2610 ORANGE CENTER BLVD, ORLANDO, FL 32805",Orlando,Orange,(407) 601-8957,PK-03,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-03' does not include any grade in K-5 range,rejected
Favoredtouch Christian Academy,private,"201 S PARK AVENUE, APOPKA, FL 32703",Apopka,Orange,(407) 403-1367,K-07,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-07' does not include any grade in K-5 range,rejected
Fiorella Preparatory School,private,"6965 PIAZZA GRANDE AVE, ORLANDO, FL 32835",Orlando,Orange,(407) 745-5732,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Flex Major School,private,"12654 LANGSTAFF DR., WINDERMERE, FL 34786",Windermere,Orange,(631) 255-5338,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Florida Children'S Academy,private,"30 E. EVANS ST., ORLANDO, FL 32804",Orlando,Orange,(407) 499-4761,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Forest City Adventist School,private,"7563 FOREST CITY ROAD, ORLANDO, FL 32810",Orlando,Orange,(407) 299-0703,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Foundation Academy,private,"15304 TILDEN RD, WINTER GARDEN, FL 34787-3128",Winter Garden,Orange,(407) 877-2744,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Foundation Academy,private,"125 E PLANT STREET, WINTER GARDEN, FL 34787",Winter Garden,Orange,(407) 877-2744,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Foundation Academy,private,"15304 TILDEN RD, WINTER GARDEN, FL 34787-3128",Winter Garden,Orange,(407) 877-2744,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Foundation Academy Lakeside,private,"8464 WINTER GARDEN VINELAND RD, ORLANDO, FL 32836",Orlando,Orange,(407) 877-2744,K-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-05' does not include any grade in K-5 range,rejected
Future Stars Academy,private,"1101 N PINE HILLS RD, ORLANDO, FL 32808",Orlando,Orange,(407) 296-0670,K-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-06' does not include any grade in K-5 range,rejected
Glad Tidings Academy,private,"2009 FULLERS CROSS RD, OCOEE, FL 34761",Ocoee,Orange,(407) 656-4140,PK-02,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-02' does not include any grade in K-5 range,rejected
God'S Plan Academy,private,"13462 LAXNESS ST, ORLANDO, FL 32827",Orlando,Orange,(347) 869-0757,05-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '05-12' does not include any grade in K-5 range,rejected
Good Shepherd Catholic School,private,"5902 OLEANDER DRIVE, ORLANDO, FL 32807-3494",Orlando,Orange,(407) 277-3973,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Great Minds Academy Llc,private,"1264 SOUTH RIO GRANDE, ORLANDO, FL 32805",Orlando,Orange,(407) 694-8220,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Heavenly Grace Christian Center Academy,private,"5265 ALHAMBRA DRIVE SUITE 3, ORLANDO, FL 32808",Orlando,Orange,(407) 885-1440,04-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '04-12' does not include any grade in K-5 range,rejected
Holy Family Catholic School,private,"5129 S. APOPKA-VINELAND ROAD, ORLANDO, FL 32819-3801",Orlando,Orange,(407) 876-9344,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Hope Academy,private,"2036 36TH STREET, ORLANDO, FL 32839",Orlando,Orange,(407) 843-8686,09-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '09-12' does not include any grade in K-5 range,rejected
I3 Academics,private,"8053 GILLIAM RD, APOPKA, FL 32703",Apopka,Orange,(407) 209-5301,03-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '03-06' does not include any grade in K-5 range,rejected
Ican Academy,private,"448 CROWNCLOVER AVE, ORLANDO, FL 32828",Orlando,Orange,(313) 338-6661,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Imagine International Academy Llc,private,"2818 ORANGE CENTER BLVD, ORLANDO, FL 32805",Orlando,Orange,(407) 247-9776,09-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '09-12' does not include any grade in K-5 range,rejected
Innovatech Hs For Career And Tech. Ed,private,"5579 RED BONE LANE, ORLANDO, FL 32810",Orlando,Orange,(407) 972-1392,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
International Harvest Christian School,private,"2740 OLD WINTER GARDEN ROAD, ORLANDO, FL 32805",Orlando,Orange,(407) 538-0741,K-03,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-03' does not include any grade in K-5 range,rejected
Jewish Academy Of Orlando,private,"851 N. MAITLAND AVENUE, MAITLAND, FL 32751",Maitland,Orange,(407) 647-0713,PK-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-06' does not include any grade in K-5 range,rejected
Joshua Academy Inc.,private,"821 S. KIRKMAN ROAD, ORLANDO, FL 32811",Orlando,Orange,(407) 579-7583,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
Kid'S Kingdom Christian Academy,private,"1342 BRUTON BLVD., ORLANDO, FL 32805",Orlando,Orange,(407) 522-7382,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Kids Now Academy I,private,"2132 CENTRAL FLORIDA PKWY, ORLANDO, FL 32837",Orlando,Orange,(407) 250-6088,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Kids R Kids Waterford,private,"415 WOODBURY RD, ORLANDO, FL 32828",Orlando,Orange,(407) 381-7979,K-02,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-02' does not include any grade in K-5 range,rejected
King Of Kings Lutheran,private,"1101 N WYMORE ROAD, MAITLAND, FL 32751",Maitland,Orange,(407) 628-5696,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
Kingsway Christian Academy,private,"4161 N. POWERS DRIVE, ORLANDO, FL 32818",Orlando,Orange,(407) 295-8901,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Learners Christian Academy,private,"800 N PINE HILLS RD, ORLANDO, FL 32808",Orlando,Orange,(407) 952-5213,K-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-06' does not include any grade in K-5 range,rejected
Life Christian Academy,private,"109 WASHINGTON AVENUE, EATONVILLE, FL 32751",Eatonville,Orange,(478) 464-4928,03-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '03-12' does not include any grade in K-5 range,rejected
Light Christian Academy And Childcare,private,"1105 N. LAKEWOOD AVENUE, OCOEE, FL 34761",Ocoee,Orange,(407) 656-6314,PK-PK,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-PK' does not include any grade in K-5 range,rejected
Little Angels Childcare,private,"5700 SILVER STAR ROAD, ORLANDO, FL 32808",Orlando,Orange,(407) 230-6725,PK-02,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-02' does not include any grade in K-5 range,rejected
Lodestone Academy,private,"4710 ADANSON ST, ORLANDO, FL 32804",Orlando,Orange,(407) 412-6690,01-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '01-12' does not include any grade in K-5 range,rejected
Lords Kingdom Academy Inc.,private,"570 N. ALAFAYA TRAIL, ORLANDO, FL 32828",Orlando,Orange,(407) 281-6464,PK-03,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-03' does not include any grade in K-5 range,rejected
Maitland Montessori School,private,"236 NORTH SWOOPE AVE., MAITLAND, FL 32751-4556",Maitland,Orange,(407) 628-0019,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Mamas Pride  Joy Preschool  Childcare,private,"933 SOUTH IVEY LANE, ORL, FL 32811",Orl,Orange,(407) 822-7759,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Master Tree Academy,private,"4418 EDGEWATER DR., ORLANDO, FL 32804",Orlando,Orange,(407) 435-9910,K-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-06' does not include any grade in K-5 range,rejected
Millenia Learning Academy,private,"4974 MILLENIA BOULEVARD, ORLANDO, FL 32839",Orlando,Orange,(407) 264-9109,K-01,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-01' does not include any grade in K-5 range,rejected
Monarch Learning Academy,private,"1914 EDGEWATER DR, ORLANDO, FL 32804",Orlando,Orange,(407) 478-8577,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Montessori Bilingual Academy,private,"61 DEAN RD., ORLANDO, FL 32825",Orlando,Orange,(407) 482-2370,PK-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-06' does not include any grade in K-5 range,rejected
Montessori Schl Of Lake Nona Dba Nona Park,private,"9186 DOWDEN RD, ORLANDO, FL 32827",Orlando,Orange,(407) 270-8880,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Montessori School Of East Orlando,private,"2526 PERCIVAL ROAD, ORLANDO, FL 32826",Orlando,Orange,(407) 447-5860,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Montessori School Of Orlando,private,"1187 FLORIDA MALL AVE. STE108, ORLANDO, FL 32809",Orlando,Orange,(407) 601-4247,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Montessori Way School,private,"12307 S ORANGE BLOSSOM TRAIL, ORLANDO, FL 32837",Orlando,Orange,(407) 852-1997,PK-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-06' does not include any grade in K-5 range,rejected
Montessori World School,private,"11659 RUBY LAKE ROAD, ORLANDO, FL 32836",Orlando,Orange,(407) 239-6024,PK-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-06' does not include any grade in K-5 range,rejected
Moses Mary Christian Academy Corp,private,"580 WEST JACKSON STREET, ORLANDO, FL 32805",Orlando,Orange,(315) 930-5041,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Muslim Academy Of Greater Orlando,private,"11551 RUBY LAKE ROAD, ORLANDO, FL 32836",Orlando,Orange,(407) 238-0144,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
New Directions Community School Of Orlando,private,"2768 N. HIAWASSEE ROAD, ORLANDO, FL 32818",Orlando,Orange,(407) 270-4517,07-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '07-12' does not include any grade in K-5 range,rejected
Next Steps Academy,private,"9367 TREVARTHON RD, ORLANDO, FL 32817",Orlando,Orange,(407) 925-5623,PK-02,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-02' does not include any grade in K-5 range,rejected
Oak Ridge Children'S Academy Daycare,private,"1124 W. OAK RIDGE RD., ORLANDO, FL 32809",Orlando,Orange,(407) 855-0080,K-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-05' does not include any grade in K-5 range,rejected
Orangewood Christian School 7-12,private,"1300 W MAITLAND BLVD, MAITLAND, FL 32751",Maitland,Orange,(407) 339-0223,07-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '07-12' does not include any grade in K-5 range,rejected
Orlando Community Arts Ballet School,private,"1003 S. KIRKMAN ROAD, ORLANDO, FL 32811",Orlando,Orange,(407) 613-7650,04-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '04-08' does not include any grade in K-5 range,rejected
Orlando Girls Jewish High School,private,"11200 SOUTH APOPKA VINELAND RD, ORLANDO, FL 32819",Orlando,Orange,(407) 778-4029,09-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '09-12' does not include any grade in K-5 range,rejected
Orlando Jewish Dayschool,private,"6807 VISITORS CIRCLE FGH, ORLANDO, FL 32819",Orlando,Orange,(321) 948-6921,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Orlando Junior Academy,private,"30 E EVANS STREET, ORLANDO, FL 32804",Orlando,Orange,(407) 898-1251,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Orlando S.T.E.A.M Academy,private,"5301 GODDARD AVE, ORLANDO, FL 32810",Orlando,Orange,(407) 286-3220,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Orlando West Academy,private,"6101 DENSON DRIVE, ORLANDO, FL 32808",Orlando,Orange,(407) 291-9800,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
Our Next Us Childcare Inc.,private,"5029 EDGEWATER DR., ORLANDO, FL 32810",Orlando,Orange,(407) 574-8700,PK-02,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-02' does not include any grade in K-5 range,rejected
Park Maitland School,private,"1450 S ORLANDO AVE, MAITLAND, FL 32751",Maitland,Orange,(407) 647-3038,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Park Maitland South,private,"1766 MINNESOTA AVENUE, WINTER PARK, FL 32789",Winter Park,Orange,(407) 647-1121,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
