school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,notes
Three Points Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://threepointses.ocps.net,,threepoints_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Tildenville Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://tildenvillees.ocps.net,,tildenville_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Timber Lakes Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://timberlakeses.ocps.net,,timberlakes_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Union Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://unionparkes.ocps.net,,unionpark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Ventura Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://venturaes.ocps.net,,ventura_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Village Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://villageparkes.ocps.net,,villagepark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Vista Lakes Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://vistalakeses.ocps.net,,vistalakes_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Vista Pointe Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://vistapointees.ocps.net,,vistapointe_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Washington Shores Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://washingtonshoreses.ocps.net,,washingtonshores_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Washington Shores Primary Learning Center,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://washingtonshoresplc.ocps.net,,washingtonshores_plc@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Water Spring Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://waterspringes.ocps.net,,waterspring_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Waterbridge Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://waterbridgees.ocps.net,,waterbridge_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Waterford Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://waterfordes.ocps.net,,waterford_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
West Creek Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://westcreekes.ocps.net,,westcreek_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
West Oaks Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://westoakses.ocps.net,,westoaks_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Westbrooke Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://westbrookees.ocps.net,,westbrooke_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Westpointe Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://westpointees.ocps.net,,westpointe_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Wetherbee Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://wetherbeees.ocps.net,,wetherbee_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Whispering Oak Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://whisperingoakes.ocps.net,,whisperingoak_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Windermere Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://windermerees.ocps.net,,windermere_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Winegard Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://winegardes.ocps.net,,winegard_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Wolf Lake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://wolflakees.ocps.net,,wolflake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Wyndham Lakes Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://wyndhamlakeses.ocps.net,,wyndhamlakes_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Zellwood Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://zellwoodes.ocps.net,,zellwood_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Arbor Ridge K-8,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://arborridgek8.ocps.net,,arborridge_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Audubon Park School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://audubonparkk8.ocps.net,,audubonpark_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Blankner School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://blanknerk8.ocps.net,,blankner_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Kelly Park School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://kellyparkk8.ocps.net,,kellyparkschool@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Lake Como School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://lakecomok8.ocps.net,,lakecomo_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
OCPS Academic Center For Excellence,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://ocpsace.ocps.net,,ocpsace_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Orlando Gifted Academy,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://orlandogiftedacademy.ocps.net,,orlandogiftedacademy_es@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Pershing School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://pershingk8.ocps.net,,pershing_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Wedgefield School,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://wedgefieldk8.ocps.net,,wedgefield_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Windy Ridge K-8,public_k8,OCPS,https://www.ocps.net/schools/k-8-schools,https://windyridgek8.ocps.net,,windyridge_k8@ocps.net,,,Orange,K-8,YES,YES,YES,VALID,Listed as K-8 school in official OCPS directory. Grade K-8 confirmed by OCPS classification.
Aspire Academy Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 297-9955,Jodene.shea@ocps.net,"928 Malone Dr, Orlando, FL 32810",Orlando,Orange,K-5,YES,YES,YES,VALID,"Principal: Jodene Shea. Source: FLDOE Charter School Portal, Orange County list."
BridgePrep Academy Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(321) 775-2119,Kerri.yuhas@ocps.net,"5710 La Costa Dr, Orlando, FL 32807",Orlando,Orange,K-8,YES,YES,YES,VALID,"Principal: Kerri Yuhas. Source: FLDOE Charter School Portal, Orange County list."
Cornerstone Academy Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 608-7171,Jorge.rivas@ocps.net,"906 Waltham Ave, Belle Isle, FL 32809",Belle Isle,Orange,K-8,YES,YES,YES,VALID,"Principal: Jorge Rivas. Source: FLDOE Charter School Portal, Orange County list."
Hope Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 656-4673,maurio.medley@ocps.net,"1550 E Crown Point Rd, Ocoee, FL 34761",Ocoee,Orange,K-8,YES,YES,YES,VALID,"Principal: Maurio Medley. Source: FLDOE Charter School Portal, Orange County list."
Innovation Montessori Ocoee,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 654-2045,cathy@innovationmontessori.com,"1644 N Lakewood Ave, Ocoee, FL 34761",Ocoee,Orange,K-12,YES,YES,YES,VALID,"Principal: Cathy Tobin. Source: FLDOE Charter School Portal, Orange County list."
Lake Eola Charter,charter_elementary,FLDOE_Charter,https://web01.fldoe.org/CSA/PostToWeb/DownloadSchoolList.aspx,,(407) 246-0900,jparrish@lecs.org,"135 N Magnolia Ave, Orlando, FL 32801",Orlando,Orange,K-8,YES,YES,YES,VALID,"Principal: Joey Parrish. Source: FLDOE Charter School Portal, Orange County list."
