source_query,position,result_type,title,description,displayed_url,url,host,rejection_reason
Orange County FL lower school,1,organic,Orange County Public Schools - Home,"""My experience at Orange County Public Schools has been amazing. The teachers and the education are absolutely wonderful."" Junior Student. ""Orange County Public ...Read more",https://www.ocps.net,https://www.ocps.net/,ocps.net,
Orange County FL lower school,2,organic,Orlando Lower School,At Lake Highland Preparatory School we offer a premier education for Pre-K through 6th-grade students. Our lower school programs offer a wide selection of ...,https://www.lhprep.org › academics › lower-school,https://www.lhprep.org/academics/lower-school,lhprep.org,
Orange County FL lower school,3,organic,Orange County Public Schools - Schools Home,"To find the perfect school for your student, click on the “Find My School” icon below and easily search by school name, home address, or by zone. Quick Links ...Read more",https://www.ocps.net › schools,https://www.ocps.net/schools,ocps.net,
Orange County FL lower school,5,organic,LOWER SCHOOL - Keystone Academy,"Beginning in the lower school, students establish strong foundations in the mechanics of reading, writing, grammar, composition, and math.Read more",http://www.keystone-academy.com › lower-school,http://www.keystone-academy.com/lower-school,keystone-academy.com,
Orange County FL lower school,7,organic,Orangewood Christian School: Home,Orangewood Christian School lovingly serves students in grades K4-12. Orangewood nurtures a relational learning environment that cares for the whole student.Read more,https://www.orangewoodchristian.org,https://www.orangewoodchristian.org/,orangewoodchristian.org,
Orange County FL lower school,10,organic,"Windermere Preparatory School | Private School in Florida, ...","As the #1 Best Private K-12 and High School in Orange County per the 2026 Niche Best Schools Rankings, Windermere Prep School is a truly unique place to learn.Read more",https://www.nordangliaeducation.com › wps-florida,https://www.nordangliaeducation.com/wps-florida,nordangliaeducation.com,
Orange County FL montessori elementary,1,organic,"Innovation Montessori Ocoee | Montessori School | Ocoee, FL",Innovation Montessori Ocoee - Kindergarten-12th Grade Leading Public Montessori Charter School in Ocoee Florida. Offering VPK and 3 year old preschool with ...,https://www.innovationmontessori.com,https://www.innovationmontessori.com/,innovationmontessori.com,
Orange County FL montessori elementary,2,organic,"Orlando Montessori Bilingual Academy | Orlando, FL","Education for Life. A Montessori school for children ages 3 to 12 years ... 61 S Dean Rd, Orlando, FL 32825, United States of America. (407) 482-2370.Read more",https://www.orlandomontessori.com,https://www.orlandomontessori.com/,orlandomontessori.com,
Orange County FL montessori elementary,4,organic,Montessori School of Orlando,,https://montessorischooloforlando.com,https://montessorischooloforlando.com/,montessorischooloforlando.com,
Orange County FL montessori elementary,5,organic,Montessori Way School: Home,"Montessori Way School is an independent private Montessori school in Orlando, Florida, offering a Montessori curriculum for preschool through sixth grade ...",https://montessoriwayschool.com,https://montessoriwayschool.com/,montessoriwayschool.com,
Orange County FL montessori elementary,6,organic,Private School | Montessori School of East Orlando | United ...,The Montessori School of East Orlando is dedicated to providing an environment in which each child is free to develop to his/her potential.,https://www.mseastorlando.com,https://www.mseastorlando.com/,mseastorlando.com,
Orange County FL montessori elementary,7,organic,Montessori World School - Preschool & Child Care Center ...,"40 years of authentic Montessori education encouraging the natural joy of learning from pre-primary to 6th grade private school serving Orlando, FL.Read more",https://montessoriworldschool.com,https://montessoriworldschool.com/,montessoriworldschool.com,
Orange County FL montessori elementary,8,organic,Montessori Schools | EdGuideCF,"MONTESSORI LEARNING – Search below from 14 Montessori schools ; COUNTY, Orange. CITY, Apopka. ZIP CODE, 32703. PHONE, 407-786-2255. MON-FRI HOURS, 7:15-6:00.Read more",https://www.edguidecf.com › copy-of-early-learning,https://www.edguidecf.com/copy-of-early-learning,edguidecf.com,
Orange County FL montessori elementary,9,organic,Nona Park Montessori School,"At Nona Park Montessori School, we are committed to using authentic Montessori practices to inspire joyful learning, growth, and development.Read more",https://nonaparkmontessorischool.com,https://nonaparkmontessorischool.com/,nonaparkmontessorischool.com,
Orange County FL preparatory school elementary,2,organic,Central Florida Preparatory School | Private PreK-12 Orlando,"Pre-K through 12th grade. An average SAT of 1280, 100% college matriculation, and a curriculum designed around the way each child actually learns.Read more",https://cfprep.org,https://cfprep.org/,cfprep.org,
Orange County FL preparatory school elementary,7,organic,Bridge Prep Academy Orange Campus,"Come and see all BridgePrep Academy of Orange Campus has to offer. Enrollment is open for students in grades K-8. Our school is small, safe, quaint and has a ...Read more",https://www.bridgepreporange.com,https://www.bridgepreporange.com/,bridgepreporange.com,
Orange County FL preparatory school elementary,8,organic,Top Rated Private School | Lake Highland Prep,"Lake Highland Prep is Orlando's top-rated private school, providing Pre-K-12 students with a remarkable education and exceptional leadership opportunities.",https://www.lhprep.org,https://www.lhprep.org/,lhprep.org,
Orange County FL christian school elementary,10,organic,Eastland Christian School,Eastland Christian School is a K4-12th grade college-preparatory school. God's Word is the foundation for ECS curriculum.Read more,https://www.eastlandchristian.org,https://www.eastlandchristian.org/,eastlandchristian.org,
Orange County FL christian school elementary,11,organic,One School | Central Florida Private School | Future Focused,Are you looking for a private school in Central Florida where your child's mind and heart will be fully engaged? Private Christian school reimagined.,https://www.oneschool.net,https://www.oneschool.net/,oneschool.net,
Orange County FL christian school elementary,12,organic,Family Christian Academy: www.fcaorlando.com Private ...,To train up disciples for Christ by incorporating Biblical values into educational standards and instilling an attitude of excellence.Read more,https://www.fcaorlando.com,https://www.fcaorlando.com/,fcaorlando.com,
Orange County FL christian school elementary,13,organic,Faith Christian Academy | Orlando – A Ministry of Faith ...,We place a strong emphasis on providing a well-rounded education for our students while prioritizing the integration of a biblical worldview into all aspects of ...Read more,https://fcalions.org,https://fcalions.org/,fcalions.org,
Orange County FL christian school elementary,14,organic,Welcome to Winter Garden Christian Academy | Private ...,Discover Winter Garden Christian Academy - opening Fall 2024. Prepare your child for a transformative education in a private Christian school in Winter ...,https://www.wgcacademy.org,https://www.wgcacademy.org/,wgcacademy.org,
Orange County FL christian school elementary,15,organic,"Berean Christian Academy | Orange Park, FL Private School","Berean Christian Academy is a private Christian school in Orange Park, FL. Learn how we inspire, challenge, and nurture students from Pre-K ...",https://bccanes.org,https://bccanes.org/,bccanes.org,
Orange County FL christian school elementary,16,organic,San Clemente Christian School: TK–8 Private Christian School,San Clemente Christian School is a private TK–8 Christian school serving South Orange County with faith-based academics for over 40 years.,https://www.sanclementechristianschool.com,https://www.sanclementechristianschool.com/,sanclementechristianschool.com,
Orange County FL christian school elementary,17,organic,The Master's Academy: Home,"Grades 9 - 12. Developing confident, capable, and Christ-centered leaders ready for college and life. 6 high school male students in a semicircle.Read more",https://www.mastersacademy.org,https://www.mastersacademy.org/,mastersacademy.org,
Orange County FL christian school elementary,18,organic,Heritage Prep School,We are an accredited Christian school with a small average class size of only 15 students and 90 percent of Heritage graduates continue into higher learning.Read more,https://heritageprep.com,https://heritageprep.com/,heritageprep.com,
Orange County FL private school elementary,11,organic,K-12 Private Schools,"Private elementary and secondary schools in Florida are not licensed, approved, accredited, or regulated by the Florida Department of Education.Read more",https://www.fldoe.org › schools › school-choice › priva...,https://www.fldoe.org/schools/school-choice/private-schools/,fldoe.org,
Orange County FL private school elementary,15,organic,Lift Orlando & Orange Center Elementary,Parents at Orange Center Elementary School have voted to convert the school into Florida's first public-private charter school through a partnership with Lift ...Read more,https://www.liftorlando.org › eduupdate,https://www.liftorlando.org/eduupdate,liftorlando.org,
Orange County FL private school elementary,19,organic,Best Private School In Orlando | Orlando Preparatory School,"As the No.1-ranked private school and STEM school in the Orlando area, Trinity Prep offers unmatched educational and extracurricular opportunities for its ...",https://www.trinityprep.org,https://www.trinityprep.org/,trinityprep.org,
Orange County FL elementary school,6,organic,Home - Orange County School District,"Welcome to Orange County Schools! Engage, Challenge, Inspire! Reach your maximum potential! Follow our news and events to learn what's happening.",https://www.orangecountyfirst.com,https://www.orangecountyfirst.com/,orangecountyfirst.com,
Orlando FL academy elementary school,11,organic,UCP CHARTER SCHOOLS | Charter School in Orlando | 4780 ...,"We are a network of nine inclusive, tuition-free charter schools across Orange, Osceola, and Seminole Counties, along with our fully online K–5 school.Read more",https://www.ucpcharter.org,https://www.ucpcharter.org/,ucpcharter.org,
Orlando FL academy elementary school,14,organic,Elementary School,"8464 Winter Garden Vineland Rd, Orlando, FL 32836, USA. Main Office: 407-614-1780. Tilden Campus. Directions. 15304 Tilden Rd, Winter Garden, FL 34787-5317, USA ...Read more",https://www.foundationacademy.net › academics › elem...,https://www.foundationacademy.net/academics/elementary-school/,foundationacademy.net,
Orlando FL academy elementary school,15,organic,Scholastic Academies,"At the Sun Blaze Elementary Gifted Scholastic Academy, you'll dive into exciting challenges, hands-on projects, and advanced learning opportunities that prepare ...Read more",https://www.ocps.net › scholasticacademies,https://www.ocps.net/scholasticacademies,ocps.net,
Orlando FL academy elementary school,17,organic,"Living Word Academy – Orlando, FL","Living Word Academy is a private Christian school serving Toddler, Preschool, VPK, Middle School and High School students, located in Orlando, FL. LEARN ...Read more",https://lwaorlando.com,https://lwaorlando.com/,lwaorlando.com,
Orlando FL academy elementary school,18,organic,Jewish Academy of Orlando,Gotlib Jewish Academy is Orlando's premier Jewish community day school. Gotlib Jewish Academy is accredited by the Florida Council of Independent Schools.,https://www.jewishacademyorlando.org,https://www.jewishacademyorlando.org/,jewishacademyorlando.org,
Orlando FL academy elementary school,19,organic,The Conrad Academy & Preschool,"We provide a nurturing and educational environment for infants, toddlers, and VPK aged children. Our trained staff is dedicated to teaching your little ones.Read more",https://www.conradacademy.org,https://www.conradacademy.org/,conradacademy.org,
Orange County FL lower school,12,organic,PreK-12 Private School in Orange Park | St. Johns Country Day,"Discover St. Johns, Orange Park's hidden gem for PreK-12 education. Personalized learning, strong academics, arts, athletics & a supportive campus ...",https://www.sjcds.net,https://www.sjcds.net/,sjcds.net,
Orange County FL lower school,13,organic,The Walden Community School Orlando | Discover Creative ...,"Explore Walden Community School Orlando, offering small classes, diverse learning programs, and a focus on creativity and critical thinking for K-12 ...",https://www.thewaldenschoolorlando.com,https://www.thewaldenschoolorlando.com/,thewaldenschoolorlando.com,
Orange County FL lower school,16,organic,The Bolles School: Home,"Lower School Ponte Vedra Beach Campus (Pre K - Grade 5) 200 ATP Tour Boulevard, Ponte Vedra Beach, FL 32082 904-285-4658; Middle School Bartram Campus (Grades 6 ...Read more",https://www.bolles.org,https://www.bolles.org/,bolles.org,
Orange County FL lower school,18,organic,Find My School Home,"The Student Enrollment Office is located at 6501 Magic Way, Bldg 100B, Orlando, FL 32809. Office hours are 7:30 a.m. - 4:30 p.m. Monday through Friday (except ...Read more",https://www.ocps.net › find-my-school-home,https://www.ocps.net/find-my-school-home,ocps.net,
Orange County FL lower school,19,organic,Orange County Public Schools: Home,Elementary Schools (PreK - Grade 5) Strategic Plan Community School Partnerships Secondary School (Grades 6-12)Read more,https://www.ocss-va.org,https://www.ocss-va.org/,ocss-va.org,
Orange County FL lower school,20,organic,Orange County Public Schools release 'potential uses' for ...,"The proposal outlines potential uses like a healthcare facility, a welcome center, and space for professional development for teachers and ...",https://www.wusf.org › education › orange-county-pub...,https://www.wusf.org/education/2026-01-07/orange-county-public-schools-release-potential-uses-for-seven-schools-that-may-close,wusf.org,
Orange County FL K-8 school,3,organic,Middle School & K-8 Cadres,Middle School & K-8 Cadres ; Jenny Gibson. Principal Leader Middle School - Cadre 1. Middle Schools – Cadre 1 ; Rolando Bailey. Principal Leader Middle Schools - ...Read more,https://www.ocps.net › ...,https://www.ocps.net/126617_3,ocps.net,
Orange County FL K-8 school,5,organic,Windy Ridge K-8 - Home - Orange County Public Schools,"Students at Windy Ridge K-8 receive a comprehensive educational experience centered around four pillars of excellence; STEM, Arts, Language and Leadership.Read more",https://windyridgek8.ocps.net,https://windyridgek8.ocps.net/,windyridgek8.ocps.net,
Orange County FL K-8 school,6,organic,List of Schools in Orange District (48),"901 Webster Avenue, Winter Park, FL 32789, (407) 897-6410. Map · Orlando Science Charter School K-8 (0103) 2600 Technology Drive, Orlando, FL 32804, (407) 299 ...Read more",https://web03.fldoe.org › Schools › schoolreport,https://web03.fldoe.org/Schools/schoolreport.asp?id=48,web03.fldoe.org,
Orange County FL K-8 school,7,organic,Pinecrest Creek Academy,Pinecrest Creek is a K-5 Accredited Tuition-Free Public Charter School. We offer all students an interactive and supportive learning environment. Apply now!,https://www.pinecrestcreekacademy.org,https://www.pinecrestcreekacademy.org/,pinecrestcreekacademy.org,
Orange County FL montessori elementary,11,organic,Home - Turtleriver Montessori,"Turtle River Montessori at 740 W Indiantown Road in Jupiter, Florida, offers authentic Montessori programs for children starting at 18 months and up to ...Read more",https://turtlerivermontessori.com,https://turtlerivermontessori.com/,turtlerivermontessori.com,
Orange County FL montessori elementary,12,organic,Maitland Montessori: Montessori School Website,Programs at our Montessori schools are defined by the practical application of sensory-based and self-directed learning through the authentic Montessori Method.Read more,https://maitlandmontessori.org,https://maitlandmontessori.org/,maitlandmontessori.org,
Orange County FL montessori elementary,13,organic,One of the Best Montessori Schools in Orange County ...,"Hillside Montessori School is located in Trabuco Canyon: For infants, toddlers, preschoolers, and kindergarteners, we provide Montessori programs.",https://www.hillsidemontessori.org,https://www.hillsidemontessori.org/,hillsidemontessori.org,
Orange County FL montessori elementary,14,organic,Children's House Montessori School,"For more than 40 years, Children's House Montessori School in DeLand, Florida has provided an outstanding educational program for children.",https://www.delandmontessori.com,https://www.delandmontessori.com/,delandmontessori.com,
Orange County FL montessori elementary,15,organic,Elementary Program: Ages 6-8 years old,Our Heritage Montessori elementary school serves children ages 6-8 and helps students develop natural curiosity while building strong academic foundations.Read more,https://www.heritagemontessori.com › elementary,https://www.heritagemontessori.com/elementary/,heritagemontessori.com,
Orange County FL montessori elementary,17,organic,International Montessori Academy Schools: USA,"International Montessori Academies are committed to providing a high quality loving and safe environment, where children learn through doing.",https://www.intmontessori.com,https://www.intmontessori.com/,intmontessori.com,
Orange County FL montessori elementary,18,organic,The Montessori Academy of Celebration | Discover Montessori ...,"Explore Montessori Academy of Celebration, a nurturing Montessori school for children ages 2.5 to 17, fostering independence, curiosity, and lifelong love ...",https://www.montessoriacademycelebration.com,https://www.montessoriacademycelebration.com/,montessoriacademycelebration.com,
Orange County FL montessori elementary,19,organic,Rancho Viejo School – An independent Montessori School of ...,"The Rancho Viejo School, a premier South Orange County Montessori School, serves students from age 18 months through elementary school.Read more",https://ranchoviejoschool.com,https://ranchoviejoschool.com/,ranchoviejoschool.com,
Orange County FL montessori elementary,20,organic,Cypress Junction Montessori,"Our 4th to 5th Grade Community, builds on elementary foundations, offering advanced, self-directed learning in language arts, math, science, social studies, and ...Read more",https://cypressjunction.org,https://cypressjunction.org/,cypressjunction.org,
Orange County FL christian school elementary,20,organic,"Grace Christian Schools – Lake Forest, CA Providing ...","We are committed to education grounded in Christian principles, and we focus on supporting and strengthening the Christian faith of our students, faculty, and ...Read more",https://gracechristianschools.org,https://gracechristianschools.org/,gracechristianschools.org,
Orange County FL christian school elementary,22,organic,Contact Us,"Elementary School · Middle School · High School · Services. Contact. (407) 859 9511. 5815 Makoma Drive Orlando, Florida 32839. Accreditation. National Private ...Read more",https://sochristianacademy.com › contact-us,https://sochristianacademy.com/contact-us/,sochristianacademy.com,
Orange County FL christian school elementary,24,organic,Friends Christian School | Develop. Nurture. Equip,"We are a private, Christian school in Yorba Linda, CA. We serve North Orange County and its' surrounding communities preschool to 8th grade.",https://www.friendschristian.org,https://www.friendschristian.org/,friendschristian.org,
Orange County FL christian school elementary,25,organic,Trinity Christian Academy | Private Christian School,Trinity Christian academy is a private Christian school located in Jacksonville. We exist to offer quality education in a Christian atmosphere.,https://tcajax.org,https://tcajax.org/,tcajax.org,
Orange County FL christian school elementary,26,organic,Covenant Christian School - Excellence in Education,"1855 N. Orange-Olive Road, Orange, CA 92865 Phone: (714) 998-4852 Fax: (714) 998-5425 Accreditation Covenant Presbyterian ChurchRead more",https://covschool.org,https://covschool.org/,covschool.org,
Orange County FL christian school elementary,27,organic,Pre-K–12 Academics | Christian Private School in Orange ...,Our high-level private school academics rooted in Biblical principles ensure our students from Pre-K to 12th grade have a solid foundation built for life.,https://www.foundationacademy.net › academics,https://www.foundationacademy.net/academics/,foundationacademy.net,
Orange County FL christian school elementary,28,organic,Elementary,"The elementary program provides a strong, core curriculum of Bible, math, reading/phonics, grammar, spelling, history, and science.Read more",https://www.scacrusaders.com › academics › elementary,https://www.scacrusaders.com/academics/elementary.cfm,scacrusaders.com,
Orange County FL christian school elementary,29,organic,Home | Spirit Academy | Hybrid Christian School,"A family-based, hybrid, Christian education. SCA provides programs for TK through 12th grade with a blend of classroom and at-home learning within a five-day ...Read more",https://www.spiritacademy.org,https://www.spiritacademy.org/,spiritacademy.org,
Orange County FL academy elementary school,4,organic,"Orange County Academy, Orlando, FL, K-9 Grade, 9 Reviews","See test scores and detailed information for Orange County Academy in Orlando, FL 32833. This FL school is located at 18415 11th Ave and is in the.",https://www.movoto.com › ... › Orlando › 32833,https://www.movoto.com/schools/orlando-fl/orange-county-academy-1213282/,movoto.com,
Orange County FL academy elementary school,5,organic,Search for Private Schools - School Detail for,School Name: Orange County Academy ; NCES School ID: A1100691 ; Physical Address: 18415 11th Ave ; County: Orange Schools in County ; Phone: (407) 298-2950.Read more,https://nces.ed.gov › surveys › pss › school_detail,https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&Zip=32833&Miles=20&ID=A1100691,nces.ed.gov,
Orange County FL academy elementary school,8,organic,Orlando Gifted Academy - Orange County Public Schools,The Orlando Gifted Academy provides opportunities for elementary gifted learners to reach their potential while pursuing interests and tapping into strengths.Read more,https://ocps.smartsiteshost.com › ...,https://ocps.smartsiteshost.com/42123_4,ocps.smartsiteshost.com,
Orange County FL preparatory school elementary,11,organic,Admissions | Orlando Private School,"Elementary school. Kindergarten – 4th grade. These grades include a diverse curriculum of reading, writing, grammar, social science, math, handwriting, and ...Read more",https://www.lakeforrestprep.com › admissions,https://www.lakeforrestprep.com/admissions/,lakeforrestprep.com,
Orange County FL preparatory school elementary,17,organic,Orange County Preparatory Academy - Orlando,"Orange County Preparatory Academy is an educational institution in Orlando, FL that provides a comprehensive academic program for students in the local ...Read more",https://www.mapquest.com › ... › Florida › Orlando,https://www.mapquest.com/us/florida/orange-county-preparatory-academy-365034739,mapquest.com,
Orange County FL preparatory school elementary,18,organic,Bridgeprep Academy Charter Schools,"BridgePrep is a challenging, rigorous, and safe environment where students can have fun while learning essential skills. All staff members are friendly and ...Read more",https://www.bridgeprepacademy.com,https://www.bridgeprepacademy.com/,bridgeprepacademy.com,
Orange County FL preparatory school elementary,20,organic,Smith Preparatory Academy | Christian Classical Education ...,Providing Christian Classical Education to students in Orlando for 30 years. Cultivating Christian virtue in K3-12 students through a beautiful education.,https://www.smithprep.com,https://www.smithprep.com/,smithprep.com,
Orlando FL lower school,2,organic,Enroll Today — The Walden Community School Orlando,"Explore Walden Community School Orlando's lower school program, emphasizing foundational learning, inquiry, arts integration, and student development for a ...",https://www.thewaldenschoolorlando.com › lower-school,https://www.thewaldenschoolorlando.com/lower-school,thewaldenschoolorlando.com,
Orlando FL lower school,3,organic,Hillcrest Elementary - Home - Orange County Public Schools,"We were also named a 2024-2025 School of Excellence by the Florida Department of Education. ... 1010 E Concord StOrlando, FL 32803-4619. Phone +1 407-245-1770 ...Read more",https://hillcrestes.ocps.net,https://hillcrestes.ocps.net/,hillcrestes.ocps.net,
Orlando FL lower school,4,organic,Lower School | Preschool-5th Grade,"From kindergarten prep to 5th grade and beyond, discover our top-rated Christian elementary school in Orlando, FL ... Private Lower School for Fun & Fundamentals.Read more",https://thefirstacademy.org › Academics,https://thefirstacademy.org/academics/lower/,thefirstacademy.org,
Orlando FL lower school,5,organic,windermere prep's lower school curriculum,"One of the best elementary schools in Orlando, Windermere Prep empowers our Lower School students to shape their own academic journey. Our world-class ...Read more",https://www.nordangliaeducation.com › wps-florida › lo...,https://www.nordangliaeducation.com/wps-florida/academic-excellence/lower-school,nordangliaeducation.com,
Orlando FL lower school,6,organic,Lower Elementary Program,"The lower elementary Montessori program is typically designed for children aged 6 to 9 years old, encompassing grades 1 to 3 in a classroom school setting.Read more",https://www.orlandomontessori.com › lower-elementary,https://www.orlandomontessori.com/lower-elementary,orlandomontessori.com,
Orlando FL lower school,10,organic,Lower School,Circle's Lower School is comprised of full-day educational programs and numerous extracurricular class offerings.Read more,https://circlechristianschool.org › Academics,https://circlechristianschool.org/academics/lower-school/,circlechristianschool.org,
